ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Conseil
"157";"Journal - Serpentard House";"HJ15";"3.61";"9.95";"2.76";"56.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"163";"Marque-page Poufsouffle";"EHPBM0024";"4.80";"11.99";"2.50";"52.0%";"9.90";"16.99";"13.45";"-";"16.99";"9.90";"-";"RAS"
"164";"Pin's Vif d'or";"EHPPB0004";"3.35";"7.99";"2.39";"49.7%";"7.90";"8.90";"8.26";"8.90";"7.99";"7.90";"0.00";"RAS"
"165";"Marque-page Serdaigle - Harry Potter";"EHPBM0025";"4.80";"11.95";"2.49";"51.8%";"9.90";"16.99";"13.45";"-";"16.99";"9.90";"-";"RAS"
"172";"Lot de 20 cartes postales - The Daily Prophet";"DPP01";"5.41";"15.99";"2.96";"59.4%";"19.90";"19.90";"19.90";"-";"-";"19.90";"-";"Opportunité (Augmenter !)"
"178";"Carte de voeux lenticulaire Harry Potter - Have you seen this wizard?";"HPCARD16";"2.28";"4.95";"2.17";"44.7%";"5.90";"5.90";"5.90";"5.90";"-";"-";"-";"Opportunité (Augmenter !)"
"179";"Carte de voeux lenticulaire - New Headmaster for Poudlard";"HPCARD14";"2.28";"4.95";"2.17";"44.7%";"5.90";"5.90";"5.90";"5.90";"-";"-";"-";"Opportunité (Augmenter !)"
"185";"Carte 2 volets Carte du Maraudeur";"HPCARD28";"2.28";"4.95";"2.17";"44.7%";"19.90";"19.90";"19.90";"-";"-";"19.90";"-";"Opportunité (Augmenter !)"
"188";"Carte de voeux lenticulaire Mass Breakout From Azkaban";"HPCARD32";"2.28";"4.95";"2.17";"44.7%";"5.00";"5.90";"5.45";"5.90";"-";"5.00";"-";"Marge faible (Vérifier)"
"189";"Carte de voeux lenticulaire Bellatrix Lestrange Wanted";"HPCARD33";"2.28";"4.95";"2.17";"44.7%";"5.00";"6.99";"5.96";"5.90";"6.99";"5.00";"-";"Marge faible (Vérifier)"
"197";"Carte de voeux lenticulaire The Daily Prophet - Boy Who Lived";"HPCARD47";"2.28";"4.95";"2.17";"44.7%";"5.90";"5.90";"5.90";"5.90";"-";"-";"-";"Opportunité (Augmenter !)"
"202";"Carte de voeux lenticulaire Dumbledore - Daft or dangerous ?";"HPCARD12";"2.28";"4.95";"2.17";"44.7%";"5.00";"5.90";"5.45";"5.90";"-";"5.00";"-";"Marge faible (Vérifier)"
"205";"Retourneur de Temps - Carte de voeux - Harry Potter";"HPCARD60";"2.28";"4.95";"2.17";"44.7%";"24.90";"24.90";"24.90";"-";"-";"24.90";"-";"Opportunité (Augmenter !)"
"215";"Boucles d'oreilles Reliques de la mort";"EWE0054";"5.75";"12.99";"2.26";"46.9%";"11.90";"12.99";"12.26";"11.90";"12.99";"11.90";"0.00";"RAS"
"217";"Pins Retourneur de temps immobile";"EHPPB0100";"3.35";"7.99";"2.39";"49.7%";"24.90";"24.90";"24.90";"-";"-";"24.90";"-";"Opportunité (Augmenter !)"
"223";"Hutte d'Hagrid - puzzle 3D Wrebbit";"W3D0512";"17.49";"34.95";"2.00";"39.9%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Opportunité (Augmenter !)"
"227";"Moule à Chocogrenouille en chocolat + 6 boîtes Chocogrenouille + 12 cartes de sorciers";"CR4018";"12.45";"24.95";"2.00";"40.1%";"5.40";"6.00";"5.70";"-";"5.40";"6.00";"-";"Trop cher (Baisser !)"
"228";"Bannière Murale Serpentard";"CR2132";"8.25";"19.95";"2.42";"50.4%";"19.90";"19.90";"19.90";"19.90";"-";"-";"-";"RAS"
"229";"Bannière Murale Serdaigle";"CR2133";"8.25";"19.95";"2.42";"50.4%";"19.90";"19.90";"19.90";"19.90";"-";"-";"-";"RAS"
"230";"Bannière Murale Poufsouffle";"CR2134";"8.25";"19.95";"2.42";"50.4%";"19.90";"19.90";"19.90";"19.90";"-";"-";"-";"RAS"
"232";"Bannière Murale Gryffondor";"CR2131";"8.25";"19.95";"2.42";"50.4%";"19.90";"19.90";"19.90";"19.90";"-";"-";"-";"RAS"
"247";"Echarpe - Gryffondor pourpre et or";"CR1001";"9.50";"22.00";"2.32";"48.2%";"21.99";"22.90";"22.45";"22.90";"21.99";"-";"-";"RAS"
"248";"Baguette de Xenophilius Lovegood";"NN8234";"18.85";"35.95";"1.91";"37.1%";"37.90";"39.99";"39.28";"37.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"249";"Coupe de Dumbledore";"NN7538";"65.00";"119.95";"1.85";"35.0%";"119.00";"119.99";"119.63";"119.90";"119.99";"119.00";"0.00";"Marge faible (Vérifier)"
"250";"Retourneur de temps";"NN7017";"31.20";"59.95";"1.92";"37.5%";"5.00";"54.99";"22.63";"7.90";"54.99";"5.00";"0.00";"Trop cher (Baisser !)"
"251";"Seigneur des anneaux - Bougeoir de La Lórien";"NN9641";"58.50";"109.95";"1.88";"36.2%";"9.80";"9.80";"9.80";"9.80";"-";"-";"-";"Trop cher (Baisser !)"
"254";"Botruc articulé";"NN5006";"5.20";"10.99";"2.11";"43.2%";"11.90";"12.99";"12.45";"11.90";"12.99";"-";"0.00";"Marge faible (Vérifier)"
"261";"Réplique Chocogrenouille";"ND6051";"5.20";"11.90";"2.29";"47.6%";"12.00";"18.95";"15.47";"-";"18.95";"12.00";"-";"RAS"
"263";"Baguette magique boîte Ollivander Seraphina Picquery";"NN5630";"20.80";"39.95";"1.92";"37.5%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"264";"Pendentif de Grindelwald Gellert - Collection";"NN8096";"29.90";"59.95";"2.01";"40.2%";"17.90";"17.90";"17.90";"-";"-";"17.90";"-";"Trop cher (Baisser !)"
"268";"Puzzle - Evasion de la banque Gringotts";"NN9455";"12.35";"24.90";"2.02";"40.5%";"24.90";"24.90";"24.90";"24.90";"-";"24.90";"0.00";"Marge faible (Vérifier)"
"269";"Puzzle - Carte du Maraudeur";"NN9457";"12.35";"24.90";"2.02";"40.5%";"24.90";"28.99";"26.26";"24.90";"28.99";"24.90";"0.00";"Marge faible (Vérifier)"
"270";"Puzzle - Les enseignes du Chemin de Traverse";"NN9459";"12.35";"24.90";"2.02";"40.5%";"24.90";"34.90";"29.90";"34.90";"-";"24.90";"0.00";"Marge faible (Vérifier)"
"271";"Puzzle - Les Détraqueurs à Poudlard";"NN9464";"12.35";"24.90";"2.02";"40.5%";"24.90";"24.90";"24.90";"24.90";"-";"24.90";"0.00";"Marge faible (Vérifier)"
"272";"Petite peluche Fumseck le Phénix";"NN7559";"12.35";"24.95";"2.02";"40.6%";"24.95";"25.90";"25.42";"25.90";"-";"24.95";"0.00";"Marge faible (Vérifier)"
"273";"Médaillon de Salazar Serpentard - Horcruxe";"NN7968";"28.60";"52.95";"1.85";"35.2%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"274";"Porte-clés Stark";"NNXT0034";"5.85";"11.95";"2.04";"41.3%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Marge faible (Vérifier)"
"276";"Marque-page Entête Gryffondor";"NN8715";"5.85";"11.95";"2.04";"41.3%";"9.90";"9.90";"9.90";"-";"-";"9.90";"-";"Trop cher (Baisser !)"
"277";"Déluminateur de Ron Weasley";"NN7268";"37.70";"69.95";"1.86";"35.3%";"69.95";"69.99";"69.97";"-";"69.99";"69.95";"0.00";"Marge faible (Vérifier)"
"279";"Boite d’artefacts Harry Potter";"NN7430";"19.50";"35.95";"1.84";"34.9%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Marge faible (Vérifier)"
"281";"Miroir du Risèd";"NN7856";"37.70";"69.95";"1.86";"35.3%";"12.00";"26.90";"21.30";"26.90";"24.99";"12.00";"0.00";"Trop cher (Baisser !)"
"282";"Porte-clés Maison Serdaigle";"NN7675";"5.85";"11.95";"2.04";"41.3%";"11.90";"11.95";"11.93";"11.90";"-";"11.95";"-";"Marge faible (Vérifier)"
"283";"Porte-clés Maison Serpentard";"NN7679";"5.85";"11.95";"2.04";"41.3%";"11.90";"11.95";"11.93";"11.90";"-";"11.95";"-";"Marge faible (Vérifier)"
"284";"Porte-clés Maison Poufsouffle";"NN7677";"5.85";"11.95";"2.04";"41.3%";"11.90";"11.95";"11.93";"11.90";"-";"11.95";"-";"Marge faible (Vérifier)"
"285";"Plaque Undesirable N°1 Harry Potter";"NNXT0023";"15.60";"34.90";"2.24";"46.4%";"34.99";"34.99";"34.99";"-";"34.99";"-";"-";"RAS"
"286";"Diadème de Rowena Serdaigle";"NN7247";"114.30";"219.95";"1.92";"37.6%";"11.99";"219.00";"115.50";"-";"11.99";"219.00";"0.00";"Marge faible (Vérifier)"
"287";"Boite d’artefacts Hermione Granger";"NN7431";"19.50";"35.95";"1.84";"34.9%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Marge faible (Vérifier)"
"288";"Boite d’artefacts Ron Weasley";"NN7432";"19.50";"35.95";"1.84";"34.9%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Marge faible (Vérifier)"
"289";"Plume d'écriture de Poudlard";"NN7595";"27.00";"49.95";"1.85";"35.1%";"44.90";"49.95";"47.42";"44.90";"-";"49.95";"-";"Marge faible (Vérifier)"
"290";"Baguette et présentoir - Bellatrix Lestrange";"NN7976";"28.60";"54.95";"1.92";"37.5%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Trop cher (Baisser !)"
"291";"Petite peluche Hedwige";"NN7561";"12.35";"24.95";"2.02";"40.6%";"25.90";"44.99";"35.45";"25.90";"44.99";"-";"-";"Marge faible (Vérifier)"
"292";"Canne baguette - Lucius Malefoy";"NN7639";"54.60";"99.95";"1.83";"34.4%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"0.00";"Trop cher (Baisser !)"
"293";"Peluche lutin de Cornouailles";"NN8928";"12.35";"24.95";"2.02";"40.6%";"24.95";"25.90";"25.28";"25.90";"24.99";"24.95";"0.00";"Marge faible (Vérifier)"
"294";"La Coupe de Helga Poufsouffle";"NN8689";"31.20";"59.90";"1.92";"37.5%";"59.90";"59.99";"59.95";"-";"59.99";"59.90";"0.00";"Marge faible (Vérifier)"
"295";"Petite peluche Boursouflet Rose";"NN8932";"12.35";"24.95";"2.02";"40.6%";"24.95";"25.90";"25.42";"25.90";"-";"24.95";"0.00";"Marge faible (Vérifier)"
"296";"Petite peluche Boursouflet Violet";"NN8933";"12.35";"24.95";"2.02";"40.6%";"24.95";"25.90";"25.28";"25.90";"24.99";"24.95";"0.00";"Marge faible (Vérifier)"
"297";"Peluche et coussin de la Maison de Serdaigle";"NN7044";"23.40";"44.95";"1.92";"37.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"298";"Peluche et coussin de la Maison de Poufsouffle";"NN7045";"23.40";"44.95";"1.92";"37.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"302";"Bague de Gaunt - Horcruxe";"NN8177";"28.60";"54.95";"1.92";"37.5%";"54.95";"54.99";"54.97";"-";"54.99";"54.95";"0.00";"Marge faible (Vérifier)"
"304";"Philtre d’amour - Pendentif et support";"NN7599";"23.40";"44.95";"1.92";"37.5%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Trop cher (Baisser !)"
"305";"Porte-clés Maison Gryffondor";"NN7673";"5.85";"11.95";"2.04";"41.3%";"11.90";"11.95";"11.93";"11.90";"-";"11.95";"-";"Marge faible (Vérifier)"
"307";"Sceau - Serpentard - Harry Potter";"NN7086";"17.55";"34.95";"1.99";"39.7%";"35.90";"35.90";"35.90";"35.90";"-";"-";"-";"Marge faible (Vérifier)"
"308";"Carte de la Terre du Milieu";"NN1312";"24.70";"44.95";"1.82";"34.1%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Trop cher (Baisser !)"
"309";"Sceau - Poufsouffle - Harry Potter";"NN7088";"17.55";"34.95";"1.99";"39.7%";"35.90";"35.90";"35.90";"35.90";"-";"-";"-";"Marge faible (Vérifier)"
"311";"Sceau - Serdaigle - Harry Potter";"NN7089";"17.55";"34.95";"1.99";"39.7%";"35.90";"35.90";"35.90";"35.90";"-";"-";"-";"Marge faible (Vérifier)"
"313";"Marque-page Entête Poudlard";"NN8719";"5.85";"11.95";"2.04";"41.3%";"9.90";"9.90";"9.90";"-";"-";"9.90";"-";"Trop cher (Baisser !)"
"314";"Marque-page Entête Poufsouffle";"NN8718";"5.85";"11.95";"2.04";"41.3%";"9.90";"12.90";"11.40";"12.90";"-";"9.90";"-";"Marge faible (Vérifier)"
"315";"Marque-page Entête Serdaigle";"NN8717";"5.85";"11.95";"2.04";"41.3%";"9.90";"9.90";"9.90";"-";"-";"9.90";"-";"Trop cher (Baisser !)"
