Nom,Prix,Prix barré,Prix soldé,En promo,URL,Image
"Carte de Voeux  3D ""Bienvenue au Ministère"" MoM","12,00 €",,,Non,https://the-wizards-shop.com/fr/cartes-de-voeux/1786-carte-de-voeux-3-d-bienvenue-au-ministere-de-la-magie.html,https://the-wizards-shop.com/6993-home_default/carte-de-voeux-3-d-bienvenue-au-ministere-de-la-magie.jpg
Carnet de Notes de luxe Serpentard - Harry Potter,"16,90 €",,,Non,https://the-wizards-shop.com/fr/carnets/1821-carnet-de-notes-de-luxe-serpentard.html,https://the-wizards-shop.com/7202-home_default/carnet-de-notes-de-luxe-serpentard.jpg
Carnet de Notes de luxe Poufsouffle - Harry Potter,"16,90 €",,,Non,https://the-wizards-shop.com/fr/carnets/1822-carnet-de-notes-de-luxe-poufsouffle.html,https://the-wizards-shop.com/7203-home_default/carnet-de-notes-de-luxe-poufsouffle.jpg
Carnet de Notes de luxe Serdaigle - Harry Potter,"16,90 €",,,Non,https://the-wizards-shop.com/fr/carnets/1823-carnet-de-notes-de-luxe-serdaigle.html,https://the-wizards-shop.com/7204-home_default/carnet-de-notes-de-luxe-serdaigle.jpg
Chaussons Maison Serdaigle,"19,90 €",,,Non,https://the-wizards-shop.com/fr/chaussettes-et-chaussons/113-chaussons-maison-serdaigle.html,https://the-wizards-shop.com/352-home_default/chaussons-maison-serdaigle.jpg
Echarpe - Maison Serdaigle,"24,90 €",,,Non,https://the-wizards-shop.com/fr/echarpes-et-foulards/119-echarpe-maison-serdaigle.html,https://the-wizards-shop.com/366-home_default/echarpe-maison-serdaigle.jpg
Echarpe - Maison Serpentard,"24,90 €",,,Non,https://the-wizards-shop.com/fr/echarpes-et-foulards/120-echarpe-maison-serpentard.html,https://the-wizards-shop.com/367-home_default/echarpe-maison-serpentard.jpg
Marque-pages Serpentard,"11,90 €",,,Non,https://the-wizards-shop.com/fr/marques-pages/165-marque-pages-serpentard.html,https://the-wizards-shop.com/476-home_default/marque-pages-serpentard.jpg
Echarpe - Maison Poufsouffle,"24,90 €",,,Non,https://the-wizards-shop.com/fr/echarpes-et-foulards/195-echarpe-maison-poufsouffle.html,https://the-wizards-shop.com/571-home_default/echarpe-maison-poufsouffle.jpg
Ensemble Sceau et cires - Serdaigle,"34,90 €",,,Non,https://the-wizards-shop.com/fr/repliques/199-ensemble-sceau-et-cires-serdaigle.html,https://the-wizards-shop.com/586-home_default/ensemble-sceau-et-cires-serdaigle.jpg
Moufles - Mitaines Serdaigle,"15,50 €",,,Non,https://the-wizards-shop.com/fr/gants/217-moufles-mitaines-harry-potter-serdaigle.html,https://the-wizards-shop.com/598-home_default/moufles-mitaines-harry-potter-serdaigle.jpg
Bonnet à pompon - Gryffondor,"20,00 €",,,Non,https://the-wizards-shop.com/fr/bonnets/233-bonnet-a-pompon-gryffondor.html,https://the-wizards-shop.com/645-home_default/bonnet-a-pompon-gryffondor.jpg
Lot de 3 paires de chaussettes Poufsouffle,"14,90 €",,,Non,https://the-wizards-shop.com/fr/chaussettes-et-chaussons/287-lot-de-3-paires-de-chaussettes-poufsouffle.html,https://the-wizards-shop.com/859-home_default/lot-de-3-paires-de-chaussettes-poufsouffle.jpg
Pendentif Charm Armoirie Poudlard,"8,90 €",,,Non,https://the-wizards-shop.com/fr/colliers-et-pendentifs/290-pendentif-charm-armoirie-poudlard.html,https://the-wizards-shop.com/870-home_default/pendentif-charm-armoirie-poudlard.jpg
Robe de Sorcier Gryffondor - Adulte,"99,95 €",,,Non,https://the-wizards-shop.com/fr/robes-de-sorciers/479-robe-de-sorcier-gryffondor.html,https://the-wizards-shop.com/1210-home_default/robe-de-sorcier-gryffondor.jpg
Pin's Chibi Hermione Granger,"7,90 €",,,Non,https://the-wizards-shop.com/fr/badges/487-pin-s-hermione-granger.html,https://the-wizards-shop.com/1289-home_default/pin-s-hermione-granger.jpg
Montre Ecusson Maison Poufsouffle - Harry Potter,"85,00 €",,,Non,https://the-wizards-shop.com/fr/montres/497-montre-ecusson-maison-poufsouffle-harry-potter.html,https://the-wizards-shop.com/1317-home_default/montre-ecusson-maison-poufsouffle-harry-potter.jpg
Charm Lumos Journal de Tom Jedusor n°11,"39,95 €",,,Non,https://the-wizards-shop.com/fr/bracelets-et-charms/511-charm-lumos-journal-de-tom-jedusor-n11.html,https://the-wizards-shop.com/1352-home_default/charm-lumos-journal-de-tom-jedusor-n11.jpg
Stylo Baguette & Marque-page Drago Malfoy,"9,95 €",,,Non,https://the-wizards-shop.com/fr/stylos-baguettes/538-stylo-baguette-marque-page-drago-malfoy.html,https://the-wizards-shop.com/1392-home_default/stylo-baguette-marque-page-drago-malfoy.jpg
Echarpe Deluxe Serdaigle 250 cm,"37,95 €",,,Non,https://the-wizards-shop.com/fr/echarpes-et-foulards/608-echarpe-deluxe-serdaigle-250-cm.html,https://the-wizards-shop.com/1632-home_default/echarpe-deluxe-serdaigle-250-cm.jpg
