"Referrer source","Referrer name","Session city","Online store visitors","Sessions"
"social","facebook","Villeurbanne",19,24
"social","facebook","Tours",20,24
"search","google","Boardman",24,24
"direct",,"Jinan",24,24
"search","google","Limoges",23,24
"social","instagram","Évreux",17,24
"search","google","Tunis",11,24
"direct",,"San Jose",24,24
"social","facebook","Le Mans",20,24
"direct",,"Montevideo",24,24
"direct",,"Jeddah",24,24
"social","facebook","Creil",15,24
"social","instagram","Angers",18,24
"search","google","Nîmes",23,24
"direct",,"Bogotá",24,24
"social","facebook","Nanterre",8,24
"direct",,"Dongguan",24,24
"direct",,"São José",24,24
"social","instagram","Toulon",20,24
"social","facebook","Mulhouse",19,23
"direct",,"Jundiaí",23,23
"direct",,"Zhuhai",23,23
"search","google","Clermont-Ferrand",22,23
"search","google","Aix-en-Provence",22,23
"direct",,"Le Grand-Quevilly",16,23
"social","facebook","Courbevoie",20,23
"direct",,"Huizhou",23,23
"social","instagram","Louviers",15,23
"search","google","Vitry-sur-Seine",22,23
"search","google","Vernon",19,23
"social","facebook","Saint-Etienne",9,23
"direct",,"Dublin",23,23
"direct",,"Petrolina",23,23
"social","instagram","Dijon",22,23
"social","instagram","Choisy-le-Roi",17,23
"direct",,"Montes Claros",23,23
"search","ecosia",,22,23
"direct",,"Vitória da Conquista",23,23
"social","facebook","Angers",22,23
"direct",,"Rio do Sul",22,22
"direct",,"Chapecó",22,22
"direct",,"Maringá",22,22
"social","instagram","Reims",19,22
"direct",,"Uberlândia",22,22
"social","instagram","Les Mureaux",10,22
"direct",,"Bolquère",1,22
"direct",,"Campos dos Goytacazes",22,22
"direct",,"Araçatuba",22,22
"social","instagram","Canteleu",12,22
"direct",,"Liège",10,22
"direct",,"Pantin",7,22
"direct",,"Riyadh",22,22
"social","facebook","Valenciennes",15,21
"direct",,"Londrina",21,21
"search","google","Besançon",18,21
"social","instagram","Le Mans",18,21
"direct",,"Toronto",21,21
"social","facebook","Nancy",15,21
"direct",,"Canoas",21,21
"direct",,"Loos",6,21
"social","instagram","Vitry-sur-Seine",13,21
"social","instagram","Limoges",20,21
"direct",,"Cotia",21,21
"direct",,"Ourinhos",21,21
"search","google","Dieppe",17,21
"direct",,"Brest",11,21
"direct",,"São José dos Pinhais",21,21
"direct",,"Campo Grande",20,20
"social","instagram","Quimper",16,20
"social","facebook","Massy",18,20
"direct",,"Piracicaba",20,20
"social","facebook","Cergy",15,20
"direct",,"Sete Lagoas",20,20
"direct",,"Caracas",20,20
"search","google","Zurich",20,20
"direct",,"Cabo Frio",20,20
"direct",,"London",18,20
"social","instagram","Montataire",2,20
"social","instagram","Montreal",19,20
"search","google","Saint-Étienne-du-Rouvray",17,20
"social","facebook","Dieppe",12,20
"search","google","Choisy-le-Roi",17,20
"direct",,"Limeira",20,20
"direct",,"Nancy",15,20
"search","google","Perpignan",20,20
