"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Collection","/collections/harry-potter-baguettes-magiques",4,15,1,1
"Product","/products/marque-page-vitrail-vache-et-fleurs",15,15,0,0
"Product","/products/banniere-etendard-poufsouffle",12,15,2,1
"Product","/products/badge-pin-s-hedwige-et-lettre",15,15,0,0
"Product","/products/baguette-de-lord-voldemort",14,15,0,0
"Product","/products/coffret-bijoux-harry-potter-poudlard-bronze",15,15,1,0
"Product","/products/baguette-de-mangemort-serpent",15,15,2,0
"Collection","/collections/seigneur-des-anneaux-jeux-et-puzzles",15,15,0,0
"Product","/products/porte-cles-gryffondor-harry-potter",15,15,0,0
"Collection","/collections/harry-potter-accessoires-et-maroquinerie/sacs-et-pochettes",13,15,2,0
"Product","/products/livre-de-coloriage-poudlard-tournois-magiques",15,15,0,0
"Product","/products/stylo-baguette-marque-page-queenie-goldstein",15,15,0,0
"Product","/products/plaque-sortilege-lumos",12,15,1,1
"Product","/products/baguette-du-professeur-severus-rogue",15,15,0,0
"Product","/products/la-coupe-de-feu-replique",15,15,0,0
"Product","/products/capsule-de-noel-laniere-et-pins-chocogrenouille",15,15,2,0
"Product","/products/bieraubeurre-sans-alcool",14,15,0,1
"Product","/products/robe-de-sorcier-enfants-serpentard",15,15,0,0
"Product","/products/lampe-lumiere-dearendil",14,15,0,0
"Product","/products/carte-de-voeux-lenticulaire-harry-potter-have-you-seen-this-wizard",15,15,0,0
"Collection","/collections/harry-potter-cuisine/vaisselle",15,15,0,0
"Product","/products/sablier-du-professeur-slughorn",15,15,0,0
"Product","/products/bonnet-serdaigle-lochaven",10,15,0,0
"Blog Index","/blogs/news",15,15,0,0
"Product","/products/sang-de-licorne",13,15,1,0
"Product","/products/nn9524",10,15,0,0
"Product","/products/cr5055",15,15,0,0
"Product","/products/badge-hogwarts-express",15,15,0,0
"Product","/products/lot-de-20-cartes-postales-la-serie-poudlard",15,15,0,0
"Product","/products/harry-potter-et-la-coupe-de-feu-serdaigle",15,15,0,0
"Product","/products/decoration-de-noel-fumseck-le-phenix",15,15,0,0
"Collection","/collections/harry-potter-vetements-1/robes-de-sorciers",15,15,0,0
"Product","/products/petite-peluche-fumseck-le-phenix",15,15,0,0
"Product","/products/stylo-baguette-marque-page-rogue",15,15,0,0
"Product","/products/nn7876",15,15,0,0
"Product","/products/creatures-magiques-dragon-de-gringotts",15,15,0,0
"Product","/products/porte-cles-mouette-et-frites",12,15,2,0
"Product","/products/hppc15",15,15,0,0
"Product","/products/sticker-avada-kedavra",13,15,1,0
"Product","/products/peluche-nom-personnage-collection-officielle",15,15,0,0
"Product","/products/sang-de-dragon",15,15,1,0
"Product","/products/robe-de-sorcier-enfants-serdaigle",15,15,0,0
"Product","/products/cours-de-botanique-a4-boudchou",15,15,0,0
"Product","/products/collier-porte-de-hobbit",15,15,0,0
"Product","/products/sirop-magique-chocogrenouille",15,15,2,0
"Product","/products/mug-chemin-de-traverse-collection-doree",14,15,1,0
"Product","/products/bougeoir-harry-potter-hedwige",15,15,0,0
"Product","/products/marque-page-vitrail-cour-de-la-nuit",15,15,1,0
"Product","/products/collier-plaque-poufsouffle",15,15,0,0
"Custom Page","/pages/foire-aux-questions",15,15,1,1
"Product","/products/baguette-magique-pvc-sirius-black",15,15,0,0
"Product","/products/boule-de-cristal-bleue-et-support",15,15,0,0
"Product","/products/support-pour-pot-de-jardin-herisson",14,15,2,1
"Product","/products/cle-de-la-cellule-de-mirkwood",15,15,1,1
"Product","/products/porte-cles-oeuf-dor",14,15,0,0
"Product","/products/harry-potter-et-le-prince-de-sang-mele-serpentard",14,14,0,0
"Product","/products/cadre-photo-miroir-du-rised",12,14,1,0
"Product","/products/porte-monnaie-hedwige-1",14,14,2,2
"Product","/products/robe-de-quidditch-personnalisable-enfants-serpentard",14,14,0,0
"Product","/products/veilleuse-back-to-hogwarts",11,14,0,0
"Product","/products/pins-prefet-gryffondor",14,14,0,0
"Product","/products/carte-3d-honeydukes-harry-potter-minalima",14,14,0,0
"Product","/products/dragon-biscuit-de-paques",14,14,0,0
"Product","/products/carte-danniversaire-bilbo-baggins",13,14,2,0
"Product","/products/marque-page-vitrail-marches-de-hobbit",7,14,0,0
"Product","/products/tote-bag-fantome-keep-your-spirits-up",9,14,0,0
"Collection","/collections/artisanat-et-curiosites-cuisine/mugs-et-verres",14,14,0,0
"Product","/products/set-de-3-magnets-harry-potter-serie-2",14,14,0,0
"Product","/products/plaque-ollivander",14,14,1,0
"Product","/products/creatures-magiques-mandragore",13,14,0,0
"Product","/products/ewes00124",14,14,1,1
"Collection","/collections/harry-potter-accessoires-et-maroquinerie-parapluies/parapluies",13,14,0,0
"Product","/products/presentoir-serdaigle-pour-baguette",14,14,0,0
"Product","/products/bougeoir-poufsouffle",14,14,0,0
"Blog Article","/blogs/lactualite-de-la-muchette/idees-cadeaux-harry-potter-noel-2025",14,14,0,0
"Product","/products/fantome-cosy-avec-led",8,14,2,1
"Product","/products/ehppb0197",14,14,0,0
"Product","/products/bonnet-a-pompon-serpentard",14,14,0,0
"Product","/products/neville-cours-de-botanique-boudchou",14,14,0,0
"Product","/products/mini-suspension-plateforme-9-3-4",13,14,0,0
"Product","/products/attrape-soleil-triquetra",13,14,1,0
"Product","/products/ekh000235",13,14,0,0
"Product","/products/porte-cles-soleil-dore",13,14,1,1
"Product","/products/petite-peluche-boursouflet-violet",13,14,0,0
"Product","/products/potion-licorne",14,14,0,1
"Product","/products/echarpe-serdaigle",14,14,0,0
"Product","/products/puzzle-vacances-a-poudlard-1000-pieces",14,14,1,0
"Collection","/collections/harry-potter-papeterie-1/Livres",14,14,0,0
"Product","/products/gourde-isotherme-luna-et-son-patronus",12,14,1,0
"Product","/products/creatures-magiques-buck-lhippogriffe-figurines",9,14,1,0
"Product","/products/coussin-harry-potter-serdaigle-mascotte",14,14,0,0
"Product","/products/pins-prefet-gryffondor-1",11,14,1,1
"Product","/products/abykey394",14,14,0,0
"Collection","/collections/maison-et-accessoires/harry-potter",4,14,3,1
"Product","/products/stickers-journaux-et-proclamations-4-feuilles",14,14,0,0
"Product","/products/map4012",13,14,0,0
"Collection","/collections/artisanat-et-curiosites-cuisine/Mugs-et-verres",14,14,0,0
"Product","/products/figurines-harry-potter-mini-hero-box-wizards-8-cm",14,14,0,0
"Product","/products/baguette-de-mangemort-epine",13,14,0,0
"Collection","/collections/seigneur-des-anneaux-bijoux/colliers",13,14,2,1
"Product","/products/puzzle-les-detraqueurs-a-poudlard",12,14,0,0
"Product","/products/feuille-de-la-lorien-broche-replique",14,14,0,0
"Product","/products/carnet-a-patchs-honeydukes",14,14,0,0
"Product","/products/collier-ciseaux-little-women",13,14,1,1
"Product","/products/map4006b",9,14,0,0
"Product","/products/porte-cles-phases-de-lune",13,14,3,0
"Product","/products/jeu-de-cartes-harry-potter-version-verte",11,14,0,0
"Product","/products/manuel-de-dessin-de-poudlard",14,14,2,1
"Product","/products/pin-s-le-chicaneur",13,13,0,0
"Product","/products/jeu-de-cartes-quidditch",12,13,0,0
"Product","/products/mug-250-ml-lettre-de-poudlard-1",13,13,0,0
"Product","/products/peluche-collector-mandragore-electronique",11,13,0,0
"Product","/products/figurines-gomee-professeur-minerva-mcgonagall",13,13,0,0
"Product","/products/stylo-mignon-serpentard",13,13,0,0
"Product","/products/banniere-chemin-de-traverse",9,13,0,0
"Product","/products/carte-postale-club-de-lecture-lapins",13,13,0,0
"Product","/products/coussin-en-velours-fumseck",13,13,0,0
"Product","/products/grand-carillon-abeille-et-fleurs",13,13,0,0
"Collection","/collections/harry-potter-papeterie-1/Marque-pages",12,13,1,0
"Product","/products/bouteille-honeydukes-500ml",13,13,0,0
"Product","/products/do5005",13,13,0,0
"Product","/products/decoration-de-noel-ford-anglia",13,13,1,0
"Product","/products/abymuga111",13,13,0,0
"Product","/products/chaussettes-magiques-kawaii",12,13,0,0
"Product","/products/journal-dark-arts-defence-basics-for-beginners",11,13,2,2
"Product","/products/bracelet-charm-a-perles-bleues-diademe-de-serdaigle-argent-925",13,13,0,0
"Product","/products/gourde-isotherme-luna-et-le-chicaneur",13,13,2,1
"Collection","/collections/harry-potter-papeterie-1/Cartes",13,13,1,0
"Product","/products/set-de-papeterie-lettre-de-poudlard",13,13,0,0
"Collection","/collections/peluches",11,13,0,0
"Product","/products/crayon-a-papier-bieraubeurre",13,13,0,0
"Product","/products/dechpk49",13,13,1,0
"Product","/products/oeuf-dragon-visser-decoration",11,13,0,0
"Product","/products/botruc-articule",11,13,3,3
"Product","/products/elixir-cerf-blanc-33cl",13,13,1,0
"Product","/products/philtre-damour-pendentif-et-support",9,13,1,1
"Collection","/collections/harry-potter-decorations/D%C3%A9corations-murales",13,13,0,0
"Product","/products/pin-s-livre-de-potions",13,13,0,0
"Product","/products/stylo-baguette-marque-page-ron-weasley",13,13,0,0
"Product","/products/boucles-doreilles-plateforme-9-3-4-harry-potter",13,13,0,0
"Product","/products/baguette-magique-pvc-hermione-granger",13,13,0,0
"Product","/products/tapis-de-bureau-la-famille-black",11,13,0,0
"Product","/products/fudges-de-potion-babillante",13,13,0,0
"Product","/products/harry-potter-et-lordre-du-phenix-gryffondoor",13,13,3,3
"Product","/products/bracelet-charm-a-perles-noires-les-reliques-de-la-mort-argent-925",12,12,0,0
"Product","/products/baguette-de-xenophilius-lovegood",12,12,0,0
"Product","/products/la-carte-du-maraudeur-le-guide-de-poudlard",9,12,0,0
"Product","/products/marque-page-vitrail-renard",12,12,1,0
"Product","/products/carte-de-voeux-lenticulaire-mass-breakout-from-azkaban",12,12,0,0
"Product","/products/banniere-etendard-serdaigle",11,12,2,1
"Product","/products/carte-2-volets-eeylops-owl-emporium",12,12,1,0
"Product","/products/porte-cles-logo-anneau-unique",12,12,0,0
"Product","/products/porte-monnaie-chemin-de-traverse",10,12,0,0
"Product","/products/a58826",12,12,0,0
"Product","/products/tirage-botanique-25x25-pierre-breton",12,12,0,0
"Collection","/collections/artisanat-et-curiosites-papeterie/Stickers",11,12,0,0
"Product","/products/serre-livre-basilic",8,12,1,0
"Product","/products/carnet-souple-durmstrang",12,12,0,0
"Product","/products/pop-holiday-vinyl-figurine-hermione-oppugno-9-cm",12,12,0,0
"Product","/products/pochette-peluche-hedwige",10,12,3,3
"Product","/products/banniere-des-4-maisons",12,12,2,2
"Product","/products/plumes-de-calligraphie",11,12,1,1
"Product","/products/figurines-gomee-dobby-l-elfe-de-maison",12,12,0,0
"Product","/products/pins-chocogrenouille",12,12,0,0
"Product","/products/poudlard-le-dressing",12,12,0,0
"Collection","/collections/papeterie",12,12,2,2
"Product","/products/do4011",12,12,0,0
"Product","/products/sticker-porte-de-hobbit",12,12,1,0
"Product","/products/porte-cles-porte-de-hobbit",12,12,1,0
"Product","/products/magnets-mysteres-harry-potter-noel",12,12,0,0
"Product","/products/baguette-du-professeur-filius-flitwick",12,12,0,0
"Collection","/collections/artisanat-et-curiosites-bijoux/badges-et-pin's",12,12,0,0
"Product","/products/tote-bag-lettre-d-admission-a-poudlard",12,12,0,0
"Product","/products/pins-dobby-lelfe-de-maison",12,12,0,0
"Product","/products/elixir-du-cerbere",12,12,0,0
"Product","/products/boule-de-noel-cadeau-broche-de-la-lorien",12,12,0,0
"Product","/products/pins-reliques-de-la-mort",12,12,0,0
"Product","/products/figurine-doree-dobby",12,12,0,0
"Product","/products/bonnet-a-pompom-poufsouffle",12,12,0,0
"Product","/products/stylo-baguette-marque-page-voldemort",12,12,0,0
"Product","/products/coussin-en-velours-hedwige",12,12,0,0
"Product","/products/cadre-photo-gryffondor-10x15cm",11,12,1,1
"Product","/products/crayon-a-papier-reliques-de-la-mort",12,12,0,0
"Collection","/collections/seigneur-des-anneaux-vetements/%C3%89charpes",11,12,2,1
"Collection","/collections/seigneur-des-anneaux-cuisine/vaisselle",12,12,1,1
"Product","/products/bougie-led-29-5cm-yule-ball",12,12,0,0
"Product","/products/mug-250-ml-lettre-de-poudlard",12,12,0,0
"Product","/products/baguette-de-katie-bell",12,12,0,0
"Blog Index","/blogs/lactualite-de-la-muchette",12,12,0,0
"Product","/products/noel-a-poudlard-illustre-par-ziyi-gao",11,12,0,0
"Product","/products/moule-a-chocogrenouille-en-chocolat-6-boites-chocogrenouille-12-cartes-de-sorciers",12,12,0,0
"Product","/products/panneau-metal-butter-beer",12,12,1,0
"Product","/products/porte-cles-deluminateur",11,12,0,0
"Product","/products/grand-livre-pop-up-des-creatures",10,12,0,0
"Collection","/collections/harry-potter-decorations/magnets",12,12,0,0
"Product","/products/carte-de-noel-gandalf",12,12,0,0
"Collection","/collections/seigneur-des-anneaux-cuisine",12,12,0,0
"Collection","/collections/artisanat-et-curiosites-papeterie",12,12,1,0
"Collection","/collections/vetements/gryffondor",12,12,0,0
"Product","/products/cr5070u",12,12,0,0
"Product","/products/creatures-magiques-lutin-de-cornouailles",12,12,0,0
"Product","/products/carnet-souple-sauron",12,12,0,0
"Product","/products/tote-bag-premium-beauty-in-common-things",12,12,1,1
"Product","/products/hpbb08",12,12,0,0
"Product","/products/pack-de-badges-terre-du-milieu",12,12,0,0
"Product","/products/carnet-a5-la-carte-des-maraudeurs",12,12,0,0
"Product","/products/boule-de-noel-led-poudlard",10,12,3,1
"Product","/products/pins-vif-dor-1",11,12,1,1
"Product","/products/bocal-de-bonbons-a-la-biere-au-beurre",11,11,1,1
"Product","/products/bonbonniere-bertie-botts",10,11,0,0
"Product","/products/mug-dobby-kawaii",10,11,0,0
"Product","/products/retourneur-de-temps",10,11,0,0
"Product","/products/plaque-en-aluminium-plateforme-9-3-4",11,11,0,0
"Product","/products/marque-page-embleme-gryffondor",11,11,1,1
"Product","/products/efbcb0028",11,11,0,0
"Product","/products/puzzle-carte-de-la-terre-du-milieu",9,11,0,0
"Product","/products/j02028",9,11,0,0
"Product","/products/carte-2-volets-blason-poufsouffle",11,11,0,0
"Product","/products/figurine-retour-a-poudlard-harry-et-hagrid-birthdae",11,11,0,0
"Product","/products/arwen-pendentif-etoile-du-soir-replique",11,11,0,0
"Product","/products/ehpcb0256",11,11,0,0
"Product","/products/lot-de-20-cartes-postales-the-weasleys-wizard-wheezes-series",11,11,0,0
"Product","/products/affiche-art-interieur-honeydukes-minalima-harry-potter",11,11,2,0
"Product","/products/boucles-d-oreilles-de-narcissa-malefoy",11,11,0,0
"Product","/products/coffret-cadeau-quidditch-boucles-doreilles-et-collier-vif-dor",11,11,0,0
"Product","/products/journal-intime-avec-encre-invisible",9,11,0,0
"Product","/products/porte-cles-dobby-1",10,11,1,1
"Product","/products/porte-cles-la-famille-black",11,11,0,0
"Product","/products/plaque-murale-du-chemin-de-traverse",11,11,2,1
"Product","/products/carte-3d-lettre-dacceptation-de-poudlard-25-ans-de-magie",10,11,0,0
"Product","/products/carnet-voie-9-3-4",9,11,0,0
"Product","/products/hedwige-toyllectible-pufflums",11,11,0,0
"Product","/products/porte-cles-3d-feuille-de-la-lorien",11,11,0,0
"Product","/products/ensemble-tasse-et-chaussettes-pere-noel",11,11,1,0
"Product","/products/tapis-de-bureau-carte-terre-du-milieu",10,11,1,0
"Product","/products/porte-cles-3d-mystere-harry-potter-mini-figurines-serie-12",11,11,0,0
"Product","/products/crayon-a-papier-et-gomme-freres-weasley",11,11,0,0
"Product","/products/harry-potter-et-les-reliques-de-la-mort-poufsouffle",11,11,0,0
"Product","/products/carte-de-voeux-daily-prophet-harry-potter-undesirable-no-1",11,11,0,0
"Product","/products/porte-cles-weasley-weasley",11,11,3,2
"Product","/products/marque-page-arbre-blanc-du-gondor",11,11,0,0
"Product","/products/mug-3d-retour-a-poudlard-hedwige",11,11,0,0
"Product","/products/mug-lune",11,11,1,0
"Product","/products/collier-arbre-les-hauts-de-hurlevent",8,11,0,0
"Collection","/collections/harry-potter-jeux-et-puzzles-1",11,11,0,0
"Product","/products/boule-de-cristal-de-divination",11,11,1,0
"Product","/products/lot-3-paires-de-chaussettes-dobby",10,11,1,0
"Product","/products/set-3-carnets-ministere-de-la-magie",10,11,0,0
"Product","/products/harry-potter-et-le-prince-de-sang-mele-serdaigle",11,11,0,0
"Product","/products/pop-holiday-vinyl-figurine-luna-en-robe-9-cm",11,11,0,0
"Product","/products/set-de-5-cartes-minalima-valse-des-champions-au-yule-ball",11,11,0,0
"Product","/products/linogravure-chocolate-frog-a5-dore",11,11,1,0
"Product","/products/peluche-mascotte-serdaigle",7,11,1,0
"Collection","/collections/seigneur-des-anneaux-cuisine/Vaisselle",10,11,3,2
"Product","/products/cadre-photo-hedwige-10x15cm",9,11,2,2
"Product","/products/stylo-mignon-poufsouffle",11,11,0,0
"Product","/products/echarpe-gryffondor-pourpre-et-or",11,11,0,0
"Product","/products/sceau-poudlard",11,11,1,0
"Product","/products/cadre-photo-entree-poudlard-harry-potter-dore",11,11,0,0
"Collection","/collections/seigneur-des-anneaux-papeterie/serre-livres",10,11,0,0
"Collection","/collections/figurines",9,11,1,0
"Product","/products/cadre-chouette-40cm-maman-et-son-bebe",11,11,0,0
"Product","/products/collier-luna-lovegood-1",10,10,0,0
"Product","/products/sculpture-vif-dor",9,10,0,0
"Product","/products/jelly-belly-harry-potter-bonbons-10-parfums",9,10,0,0
"Product","/products/creatures-magiques-fumseck-le-phenix-figurines",10,10,0,0
"Product","/products/set-3-pin-s-lettre-dacceptation-poudlard-25-ans-de-magie",10,10,1,0
"Product","/products/pins-ministere-de-la-magie-du-bresil-minalima",10,10,0,0
"Product","/products/attrape-soleil-vitrail-velaris",10,10,1,0
"Product","/products/bonbonniere-chocogrenouille",9,10,1,0
"Product","/products/harry-potter-et-les-reliques-de-la-mort-serpentard",10,10,0,0
"Product","/products/puzzle-en-bois-harry-potter-150-pieces",10,10,0,0
"Product","/products/mug-320-ml-sinistros",8,10,1,1
"Product","/products/pins-jane-austen",10,10,0,0
"Collection","/collections/harry-potter-papeterie-cartes",10,10,0,0
"Product","/products/set-dejeuner-5-pieces",3,10,1,2
"Product","/products/plaid-fluffy-foret-enchantee-creme",9,10,0,0
"Collection","/collections/tous-les-produits/seigneur-des-anneaux",10,10,1,0
"Product","/products/grand-dragon-articule-fleurs-de-cerisier",10,10,0,0
"Product","/products/figurines-gomee-display-fleur-delacour",10,10,0,0
"Product","/products/mini-booknook-magnet-bibliotheque-magique",7,10,0,0
"Collection","/collections/belle-saison",9,10,0,0
"Product","/products/porte-cles-charms",10,10,0,0
"Product","/products/pins-ministere-de-la-magie",9,10,0,0
"Product","/products/carte-postale-arret-de-bus",10,10,0,0
"Product","/products/harry-potter-iii-harry-potter-et-le-prisonnier-dazkaban-kay",10,10,0,0
"Product","/products/sac-en-velours-brode-faon-lune",9,10,2,2
"Product","/products/potter-et-compagnie-guide-sur-ron-weasley",10,10,0,0
"Product","/products/livre-de-coloriage-serpentard",10,10,0,0
"Product","/products/harry-potter-et-les-reliques-de-la-mort-serdaigle",10,10,2,2
"Product","/products/puzzle-harry-potter-retour-a-poudlard-300-pieces",10,10,2,1
"Product","/products/marque-page-vitrail-chateau-ciel-couchant",10,10,0,0
"Product","/products/dent-de-basilic-et-journal-de-tom-jedusor",10,10,1,1
"Collection","/collections/harry-potter-decorations/0-20",10,10,0,0
"Product","/products/stylo-mignon-luna-lovegood",10,10,0,0
"Product","/products/bruleur-a-huile-rennes",10,10,0,0
"Product","/products/carillons-fees",10,10,0,0
"Product","/products/suspension-aile-de-fee",10,10,0,0
"Product","/products/diorama-harry-et-buck-d-stage",8,10,0,0
"Collection","/collections/harry-potter-papeterie-1/Stylos-et-sceaux",9,10,0,0
"Product","/products/mug-en-relief-luna",8,10,2,0
"Product","/products/creatures-magiques-focifere",9,10,0,0
"Product","/products/set-2-chibi-posters-lord-of-the-rings52x38",10,10,0,0
"Product","/products/boucle-et-bague-doreille-hedwige",10,10,0,0
"Product","/products/lot-de-3-paires-de-chaussettes-hautes-poufsouffle",8,10,0,0
"Product","/products/harry-potter-et-le-prisonnier-dazkaban-poche",10,10,0,0
"Product","/products/cravate-serdaigle-logo-tisse-harry-potter",10,10,0,0
"Collection","/collections/meilleures-ventes-1/harry-potter",10,10,0,0
"Product","/products/la-magie-du-cinema-5-les-secrets-de-dumbledore",9,10,0,0
"Product","/products/collier-dore-vif-dor",9,10,0,0
"Product","/products/pop-holiday-vinyl-figurine-dumbledore-horcruxes-9-cm",10,10,0,0
"Product","/products/lot-de-20-cartes-postales-les-couvertures-de-livres-de-poudlard",10,10,0,0
"Collection","/collections/harry-potter-jeux-et-puzzles-1/puzzles",10,10,0,0
"Product","/products/potion-dragees-surprises-version-anglaise",10,10,0,0
"Product","/products/carte-postale-vicencia-santos",10,10,0,0
"Collection","/collections/nouveautes/0-20",10,10,0,0
"Product","/products/plaque-suspendue-i-solemnly-swear",9,10,0,0
"Product","/products/jde-bdg-ldr2",10,10,0,0
"Product","/products/figurine-doree-aragog",10,10,0,0
"Collection","/collections/papeterie/les-animaux-fantastiques",2,10,0,0
"Product","/products/tote-bag-tapisserie-famille-black",7,10,1,0
"Product","/products/mug-chaudron-baveur-collection-doree",9,10,0,0
"Product","/products/hpbb13",9,10,0,0
,"/policies/privacy-policy",10,10,0,0
"Product","/products/capsule-de-noel-laniere-et-pins-luna-lovegood",10,10,1,0
"Product","/products/harry-potter-always-themed-22oz-630ml",9,10,5,4
"Collection","/collections/artisanat-et-curiosites/mugs-et-verres",10,10,1,1
"Product","/products/lot-de-4-assiettes-chemin-de-traverse",8,10,0,0
"Product","/products/journal-the-tales-of-beedle-the-bard",10,10,0,0
"Product","/products/magnet-puzzle-boutique-de-magie",10,10,0,0
"Product","/products/echarpe-feuille-de-la-lorien",8,10,1,0
"Product","/products/mug-heat-change-460-ml-patronus",10,10,0,0
"Product","/products/chaussette-de-noel-hedwige",9,10,1,0
"Product","/products/stylo-baguette-marque-page-luna-lovegood",10,10,0,0
"Product","/products/decoration-noel-harry-potter-cabane-hagrid-led",7,10,0,0
"Product","/products/cadre-photo-10x15cm-marguerite",10,10,1,0
"Product","/products/creatures-magiques-troll-des-montagnes",10,10,0,0
"Product","/products/cr5056",10,10,0,0
"Product","/products/baguette-de-gregorovitch",10,10,0,0
"Product","/products/porte-cles-peluche-cedric-diggory-coupe-des-trois-sorciers",10,10,0,0
"Product","/products/porte-cles-poney-fringant",10,10,0,0
"Product","/products/bougeoir-gryffondor-1",10,10,1,0
"Product","/products/cadre-botanique",10,10,2,1
"Product","/products/porte-cls-peluche-albus-dumbledore",10,10,0,0
"Product","/products/figurine-retour-a-poudlard-harry",10,10,0,0
"Product","/products/cravate-de-dumbledore-pour-thse",10,10,0,0
"Product","/products/porte-cles-3d-etoile-du-soir",9,10,0,0
"Product","/products/brule-parfum-citrouille-magic-is-in-you",6,10,1,1
"Product","/products/figurine-doree-niffleur",10,10,1,0
"Collection","/collections/harry-potter-cuisine/mugs-et-verres",7,9,1,0
"Product","/products/badge-gateau-happee-birthdae",9,9,0,0
"Product","/products/boucles-doreilles-etoile-du-soir",8,9,1,0
"Product","/products/mug-3d-retour-a-poudlard-drago",8,9,0,0
"Product","/products/harry-potter-le-jeu-1-000-questions-et-defis",9,9,0,0
"Product","/products/la-coupe-de-helga-poufsouffle",9,9,0,0
"Product","/products/sticker-espresso-patronum",4,9,0,0
"Product","/products/baguette-de-cho-chang",9,9,0,0
"Product","/products/cravate-serpentard-logo-tisse-harry-potter",9,9,0,0
"Product","/products/plat-a-bijoux-empilable-lune-et-soleil",9,9,0,0
"Product","/products/ewncx0088",8,9,0,0
"Product","/products/decoration-de-noel-led-oeuf-dor",9,9,3,1
"Collection","/collections/harry-potter-accessoires-et-maroquinerie/Porte-cl%C3%A9s",7,9,0,0
"Product","/products/porte-passeport-ministere-de-la-magie",9,9,2,0
"Collection","/collections/harry-potter-decorations/Plaids-et-coussins",6,9,0,0
"Product","/products/poster-undesirable-no-1-harry-potter",9,9,0,0
"Product","/products/elixir-du-griffon",9,9,0,0
"Product","/products/badge-pins-chocogrenouilles",9,9,0,0
"Product","/products/map4013",9,9,0,0
"Product","/products/figurine-gomee-lord-voldemort",8,9,0,0
"Product","/products/linogravure-chocolate-frog-a5-bleu-jaune",9,9,0,0
"Product","/products/stfe-0045",9,9,0,0
"Product","/products/porte-cles-3d-sablier-gryffondor",9,9,0,0
"Product","/products/cr5066u",9,9,0,0
"Product","/products/pull-quidditch-gryffondor-harry-potter",9,9,0,0
"Product","/products/set-de-papeterie-ministere-de-la-magie",9,9,1,0
"Product","/products/bloc-notes-a5-poudlard",9,9,0,0
"Product","/products/bracelet-charm-vif-dor-argent-925",9,9,0,0
"Product","/products/boule-de-cristal-avec-support-argente",9,9,1,0
"Product","/products/crochet-mural-libellule",8,9,0,0
"Product","/products/cles-volantes-transparentes-petites-en-suspension",9,9,1,1
"Product","/products/marque-page-patronus-ginny-boudchou",9,9,0,0
"Product","/products/porte-cles-cherubin-de-la-saint-valentin",9,9,0,0
"Product","/products/pot-a-crayons-harry-potter-avec-set-decriture",5,9,1,0
"Product","/products/decoration-de-noel-tasse-a-the-doree",9,9,0,0
"Product","/products/mug-privet-drive-collection-doree",9,9,1,0
"Product","/products/baguette-magique-boite-ollivander-drago-malefoy",9,9,0,0
"Product","/products/guide-cinema-7-norbert-dragonneau",9,9,0,0
"Product","/products/potter-et-compagnie-hermione-granger",9,9,0,0
"Product","/products/peluche-patronus-phenix",9,9,0,0
"Product","/products/presentoir-pendentif-arwen-etoile-du-soir",9,9,0,0
"Product","/products/carnet-souple-drago-malefoy",9,9,0,0
"Collection","/collections/tous-les-produits/20-40",9,9,0,0
"Product","/products/mug-460-ml-sauron",9,9,1,1
"Product","/products/retourneur-de-temps-5cm",6,9,0,0
"Product","/products/cahier-ligne-a5-forces-des-tenebres",9,9,0,0
"Collection","/collections/tous-les-produits/mugs-et-verres",2,9,0,0
"Product","/products/coussin-mascotte-maisons-magiques-fait-main",9,9,0,0
"Product","/products/jeton-calin-fantome",9,9,1,1
"Product","/products/carte-danniversaire-gollum",9,9,1,2
"Product","/products/mug-320-ml-harry-drago",9,9,0,0
"Product","/products/banniere-etendard-gryffondor",9,9,1,0
"Product","/products/vase-livre-myths-fairy-tale-legends",9,9,0,0
"Product","/products/fudges-sorbet-citron",9,9,0,0
"Product","/products/harry-potter-iv-harry-potter-et-la-coupe-de-feu-kay",9,9,0,0
"Product","/products/marque-page-vitrail-citrouilles-de-hobbit",9,9,0,0
"Product","/products/linogravure-better-beer-a5-dore",9,9,0,0
"Product","/products/harry-potter-pop-movies-vinyl-figurine-stan-shunpike-9-cm",9,9,0,0
"Product","/products/harry-potter-le-livre-de-cuisine-officiel",9,9,0,0
"Product","/products/baguette-magique-pvc-ginny-weasley",9,9,0,0
"Product","/products/marque-page-vitrail-poudlard-au-soleil-couchant",9,9,1,1
"Product","/products/stickers-sortileges",8,9,0,0
"Checkout","/orders/6d3ff8fbc728e450c85be28da625ef88",1,9,0,0
"Product","/products/pin-s-fumseck-plaque-or-rose",9,9,0,0
"Collection","/collections/harry-potter-decorations-objets-decos",9,9,0,0
"Product","/products/mug-pre-au-lard-collection-doree",7,9,0,0
"Product","/products/ehppb0053",9,9,1,0
"Product","/products/le-seigneur-des-anneaux-figurine-mini-epics-the-witch-king-19-cm",9,9,0,0
"Product","/products/livre-de-coloriage-creatures-magiques",9,9,0,0
"Product","/products/mug-thermoreactif-seigneur-anneaux-anneau-unique",8,8,1,0
"Product","/products/canne-baguette-lucius-malefoy",7,8,0,0
"Collection","/collections/seigneur-des-anneaux-bijoux/boucles-d%27oreilles",7,8,0,0
"Product","/products/do4002",8,8,0,0
"Product","/products/set-enfant-gants-tactiles-bonnet-serdaigle",8,8,0,0
"Product","/products/puces-d-oreille-fumseck",8,8,0,0
"Product","/products/livre-de-coloriage-poudlard",4,8,0,0
