"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Product","/products/ewes0157",51,52,0,0
"Product","/products/hpbb02",51,52,0,0
"Product","/products/potter-et-compagnie-harry-potter",50,51,0,0
"Product","/products/decoration-detagere-faucheuse",50,51,3,1
"Product","/products/agenda-harry-potter-2025-2026",47,51,1,1
"Product","/products/carte-de-poudlard-carte-de-voeux",51,51,0,0
"Product","/products/livre-de-coloriage-serdaigle",48,50,0,0
"Product","/products/journal-poufsouffle-harry-potter",50,50,0,0
"Checkout","/checkouts/cn/hWN4e2XttSlZ233J4gBrR4YV/fr-fr/information",2,50,0,50
"Product","/products/baguette-de-narcissa-malefoy",50,50,0,0
"Product","/products/le-livre-de-coloriage-de-poudlard-posters-magiques",49,50,2,0
"Product","/products/set-boucles-d-oreilles-chocogrenouille-lunettes-et-eclair-retourneur-de-temps",49,49,0,0
"Product","/products/plaid-fluffy-fantome-fleurs-et-citrouilles",34,49,4,3
"Product","/products/harry-potter-destination-poufsouffle",49,49,0,0
"Product","/products/ewnx0011",49,49,1,1
"Product","/products/badge-pins-eclair-harry-potter",48,48,0,0
"Product","/products/lettre-du-ministere-orpiment",43,48,1,0
"Product","/products/marque-page-serdaigle-harry-potter",48,48,1,1
"Product","/products/collier-corbeau-edgar-allan-poe",43,47,1,1
"Product","/products/puzzle-carte-du-maraudeur",45,47,1,0
"Product","/products/carte-postale-maison-sorciere",43,47,0,0
"Product","/products/hppc16",47,47,0,0
"Product","/products/collier-plaque-serdaigle",46,46,0,0
"Product","/products/hpbb04",46,46,0,0
"Product","/products/porte-cles-diademe-de-serdaigle",46,46,0,0
"Product","/products/carte-de-voeux-lenticulaire-bellatrix-lestrange-wanted",46,46,1,1
"Collection","/collections/artisanat-et-curiosites-decorations/Suspensions",43,46,2,0
"Product","/products/ewes0100",46,46,1,1
"Product","/products/hpbb19",46,46,0,0
"Product","/products/tote-bag-famille-black",45,46,1,0
"Product","/products/boite-a-cookies-harry-potter-honeydukes-ceramique",42,45,1,0
"Product","/products/anneau-unique-replique-seigneur-des-anneaux",44,45,0,0
"Product","/products/brule-parfum-citrouille-fleurie",43,45,2,1
"Product","/products/cr2747",45,45,0,0
"Product","/products/baguette-de-hermione-granger",38,45,0,0
"Product","/products/journal-les-animaux-fantastiques",44,44,1,1
"Product","/products/baguette-de-alastor-maugrey-fol-oeil",44,44,0,0
"Product","/products/echarpe-en-laine-poufsouffle-lochaven",40,44,3,1
"Product","/products/body-je-crie-fort",39,44,1,0
"Product","/products/bougeoir-serpentard-1",42,44,1,0
"Product","/products/tote-bag-always-you-three",43,43,0,0
"Product","/products/carte-2-volets-ticket-poudlard",43,43,0,0
"Product","/products/peluche-patronus-loutre",41,43,2,1
"Product","/products/cartes-de-voeux-phases-de-la-lune",43,43,0,0
"Product","/products/decoration-de-noel-potion-damour",43,43,0,0
