"Code-barres";"id";"id Déclinaison";"Libellé";"Déclinaison";"Ref. fournisseur";"Point de vente";"Prix de vente";"Prix soldé";"Prix d'achat HT";"points +";"points -"
"5060425402846";"99";"0";"Carte 2 volets Gryffondor Crest";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5055583404849";"100";"0";"Collier Chaudron à potions";"";"";"0";"11.99";"0.00";"0.00";"0";"0"
"3760166560226";"104";"0";"Cravate - Serdaigle";"";"";"0";"14.95";"0.00";"0.00";"0";"0"
"5055453468032";"105";"0";"Flasque Mother of Dragons";"";"";"0";"14.90";"0.00";"0.00";"0";"0"
"4895205600034";"106";"0";"Echarpe de Norbert Dragonneau";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"3760166560608";"107";"0";"Echarpe - Poufsouffle";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"3760166560615";"108";"0";"Echarpe - Serdaigle";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"3760166560585";"109";"0";"Echarpe - Serpentard";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"4895205600362";"110";"0";"Robe de Sorcier (enfants) - Serpentard";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205600379";"112";"0";"Robe de Sorcier (enfants) - Serdaigle";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"9781608879663";"113";"0";"Carnet de notes Stupefix";"";"";"0";"14.90";"0.00";"0.00";"0";"0"
"4895205600386";"114";"0";"Robe de Sorcier (enfants) - Poufsouffle";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"9781608879304";"115";"0";"Carnet de notes MACUSA";"";"";"0";"14.90";"0.00";"0.00";"0";"0"
"4895205600638";"116";"0";"Cravate Deluxe Gryffondor avec pin's";"";"";"0";"24.95";"0.00";"0.00";"0";"0"
"4895205600652";"117";"0";"Cravate Deluxe Serpentard avec pin's";"";"";"0";"24.95";"0.00";"0.00";"0";"0"
"4895205600645";"118";"0";"Cravate Deluxe Serdaigle avec pin's";"";"";"0";"24.95";"0.00";"0.00";"0";"0"
"4895205600669";"119";"0";"Cravate Deluxe Poufsouffle avec pin's";"";"";"0";"24.95";"0.00";"0.00";"0";"0"
"4895205603264";"120";"0";"Cravate kid Gryffondor - Logo tissé";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205601208";"121";"0";"Set Enfant Gants Tactiles & Bonnet - Serpentard";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205601192";"122";"0";"Set Enfant Gants Tactiles & Bonnet - Serdaigle";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205601185";"123";"0";"Set Enfant Gants Tactiles & Bonnet - Poufsouffle";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205601376";"124";"0";"Bonnet à pompom - Poufsouffle";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205601345";"125";"0";"Bonnet à pompom - Gryffondor";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205601352";"126";"0";"Bonnet à pompon - Serpentard";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205601369";"127";"0";"Bonnet à pompon - Serdaigle";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205603271";"131";"0";"Cravate kid Serpentard - Logo tissé";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205603288";"132";"0";"Cravate kid Serdaigle - Logo tissé";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205603295";"133";"0";"Cravate kid Poufsouffle - logo tissé";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205601529";"135";"0";"Robe de Quidditch personnalisable (enfants) - Serpentard";"";"";"0";"89.95";"0.00";"0.00";"0";"0"
"4895205604100";"136";"0";"Ensemble de 55 stickers Harry Potter";"";"";"0";"5.95";"0.00";"0.00";"0";"0"
"665541010125";"137";"0";"Pré-au-Lard - Les Trois Balais - puzzle 3D";"";"";"0";"37.95";"0.00";"0.00";"0";"0"
"5055583408731";"138";"0";"Porte-clés Reliques de la mort";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5060425401085";"140";"0";"Sirius Black Wanted Poster";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425402020";"141";"0";"Poster - Bombabouse par Weasley, Farces pour sorciers facétieux";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425401078";"142";"0";"Poster - Undesirable  No.1 Harry Potter";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425401061";"143";"0";"Poster - Wanted Bellatrix Lestrange";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425400682";"144";"0";"Poster - Quidditch  World Cup";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425401047";"145";"0";"Poster - Proclamation 31";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425402112";"146";"0";"Lot de magnets - Ministry of Magic Wanted Posters";"";"";"0";"19.99";"0.00";"0.00";"0";"0"
"5060425401030";"147";"0";"Poster - Eeylops Owl Emporium";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425402129";"148";"0";"Lot de magnets - Ministry of Magic Proclamations";"";"";"0";"19.99";"0.00";"0.00";"0";"0"
"5060425401665";"149";"0";"Journal - Gryffondor House";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5060425401375";"150";"0";"Journal - Les Animaux fantastiques";"";"";"0";"19.99";"0.00";"0.00";"0";"0"
"5060425401368";"151";"0";"Journal - A History of Magic";"";"";"0";"19.99";"0.00";"0.00";"0";"0"
"5060425401344";"152";"0";"Journal - Poudlard : A History";"";"";"0";"19.99";"0.00";"0.00";"0";"0"
