"id";"Libellé";"En ligne";"Catégorie";"Marque";"Type de déclinaison";"Déclinaison";"id Déclinaison";"Code-barres";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Prix soldé";"points +";"points -";"La Muchette"
"142";"Poster - Undesirable  No.1 Harry Potter";"1";"Posters";"";"0";"";"0";"HPP11";"4.81";"MinaLima";"";"14.99";"0.200";"0.00";"0";"0";"8"
"143";"Poster - Wanted Bellatrix Lestrange";"1";"Posters";"";"0";"";"0";"HPP10";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"4"
"144";"Poster - Quidditch  World Cup";"1";"Posters";"";"0";"";"0";"HPP03";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"13"
"145";"Poster - Proclamation 31";"1";"Posters";"";"0";"";"0";"HPP02";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"0"
"146";"Lot de magnets - Ministry of Magic Wanted Posters";"1";"Décorations";"";"0";"";"0";"IHPM03";"9.50";"";"";"19.99";"0.200";"11.99";"0";"0";"0"
"147";"Poster - Eeylops Owl Emporium";"1";"Posters";"";"0";"";"0";"HPP01";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"13"
"148";"Lot de magnets - Ministry of Magic Proclamations";"1";"Décorations";"";"0";"";"0";"IHPM04";"9.50";"";"";"19.99";"0.200";"10.00";"0";"0";"0"
"149";"Journal - Gryffondor House";"1";"Carnets";"";"0";"";"0";"HJ12";"3.61";"MinaLima";"";"9.95";"0.200";"5.00";"0";"0";"0"
"150";"Journal - Les Animaux fantastiques";"1";"Carnets";"";"0";"";"0";"HJ09";"7.82";"MinaLima";"";"19.99";"0.200";"0.00";"0";"0";"9"
"151";"Journal - A History of Magic";"1";"Carnets";"";"0";"";"0";"HJ08";"7.82";"MinaLima";"";"19.99";"0.200";"0.00";"0";"0";"2"
"152";"Journal - Poudlard : A History";"1";"Carnets";"";"0";"";"0";"HJ06";"7.82";"MinaLima";"";"19.99";"0.200";"0.00";"0";"0";"16"
"153";"Journal - Poufsouffle House";"1";"Carnets";"";"0";"";"0";"HJ13";"3.61";"MinaLima";"";"9.95";"0.200";"0.00";"0";"0";"0"
"155";"Poudlard Map Poster";"1";"Posters";"";"0";"";"0";"HPP62";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"7"
"156";"Journal - Serdaigle House";"1";"Carnets";"";"0";"";"0";"HJ14";"3.61";"MinaLima";"";"9.95";"0.200";"0.00";"0";"0";"0"
"157";"Journal - Serpentard House";"1";"Carnets";"";"0";"";"0";"HJ15";"3.61";"MinaLima";"";"9.95";"0.200";"0.00";"0";"0";"0"
"158";"Lot de 20 cartes postales - les couvertures de livres de Poudlard";"1";"Cartes";"";"0";"";"0";"HPC04";"7.60";"MinaLima";"";"15.99";"0.200";"0.00";"0";"0";"4"
"159";"Poster - Daily Prophet Harry Potter Undesirable  No.1";"1";"Posters";"";"0";"";"0";"HPP13";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"0"
"162";"Set - Lettre d'acceptation à Poudlard";"1";"Papeterie";"";"0";"";"0";"HPWS01";"8.13";"";"";"20.00";"0.200";"14.00";"0";"0";"0"
"163";"Marque-page Poufsouffle";"1";"Marque-page";"";"0";"";"0";"EHPBM0024";"4.80";"";"";"11.99";"0.200";"0.00";"0";"0";"0"
"164";"Pin's Vif d'or";"1";"Badges et Pin's";"";"0";"";"0";"EHPPB0004";"3.35";"";"";"7.99";"0.200";"0.00";"0";"0";"0"
"165";"Marque-page Serdaigle - Harry Potter";"1";"Marque-page";"";"0";"";"0";"EHPBM0025";"4.80";"";"";"11.95";"0.200";"8.37";"0";"0";"1"
