ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Confiance;Conseil
"2058";"Chaussons deluxe Poufsouffle ";"CR2314";"13.95";"29.95";"2.15";"44.1%";"22.90";"29.99";"25.84";"22.90";"29.99";"27.50";"22.99";"0.78";"Marge faible (Vérifier)"
"2059";"Tote Bag - Luna Lovegood portrait ";"MAP2407";"4.70";"10.00";"2.13";"43.6%";"9.90";"9.90";"9.90";"9.90";"-";"-";"-";"0.98";"Marge faible (Vérifier)"
"2060";"Carnet souple - Mandragore";"MAP5175";"3.70";"8.95";"2.42";"50.4%";"8.99";"8.99";"8.99";"-";"8.99";"-";"-";"0.74";"RAS"
"2061";"Choixpeau - Peluche interactive";"NN8113";"37.70";"74.95";"1.99";"39.6%";"59.99";"74.95";"67.47";"-";"59.99";"74.95";"-";"0.91";"Marge faible (Vérifier)"
"2062";"Couverture polaire Ordre du phénix 130 x 170 cm";"HHE7574409127521";"6.54";"20.00";"3.06";"60.8%";"16.40";"16.40";"16.40";"-";"16.40";"-";"-";"0.64";"Trop cher (Baisser !)"
"2064";"Chope Mangemort";"NEMN-B5604T1";"31.90";"59.90";"1.88";"36.1%";"54.90";"69.90";"62.40";"54.90";"-";"69.90";"-";"0.67";"Marge faible (Vérifier)"
"2065";"Puzzle Gryffondor (500 pièces)";"NMR62178";"8.42";"17.00";"2.02";"40.6%";"16.90";"17.99";"17.29";"16.99";"17.99";"-";"16.90";"0.82";"Marge faible (Vérifier)"
"2066";"Puzzle Young Wizard Harry Potter (1000 pièces)";"RAVE15171";"6.47";"19.90";"3.08";"61.0%";"17.99";"19.99";"19.47";"19.99";"17.99";"19.90";"19.99";"0.75";"RAS"
"2068";"Lot de 3 paires de chaussettes hautes Poufsouffle";"CR1644";"9.30";"19.50";"2.10";"42.8%";"13.90";"20.00";"15.72";"13.90";"13.99";"20.00";"14.99";"0.89";"Marge faible (Vérifier)"
"2069";"Lot de 3 paires de chaussettes hautes Serdaigle ";"CR1643";"9.30";"19.50";"2.10";"42.8%";"13.90";"20.00";"15.72";"13.90";"13.99";"20.00";"14.99";"0.88";"Marge faible (Vérifier)"
"2070";"Lot de 3 paires de chaussettes hautes Serpentard ";"CR1642";"9.30";"19.50";"2.10";"42.8%";"13.90";"20.00";"15.72";"13.90";"13.99";"20.00";"14.99";"0.88";"Marge faible (Vérifier)"
"2071";"Lot de 3 paires de chaussettes hautes Gryffondor ";"CR1641";"9.30";"19.50";"2.10";"42.8%";"13.90";"20.00";"15.97";"13.90";"14.99";"20.00";"14.99";"0.88";"Marge faible (Vérifier)"
"2074";"Décorations sapin Hogwarts Express Ticket ";"NEMN-B6046V2";"6.20";"12.00";"1.94";"38.0%";"11.99";"11.99";"11.99";"-";"-";"-";"11.99";"0.63";"Marge faible (Vérifier)"
"2075";"Carnet de notes Premium A5 Hedwig Fluffy";"SR72671";"6.54";"14.00";"2.14";"43.9%";"14.90";"14.90";"14.90";"-";"-";"14.90";"-";"0.87";"Marge faible (Vérifier)"
"2077";"Coffret Harry Potter 25ans";"2430000020773";"66.28";"99.90";"1.51";"20.4%";"99.90";"110.00";"103.27";"110.00";"99.90";"99.90";"-";"0.82";"Marge faible (Vérifier)"
"2078";"Harry Potter et le prince de sang mêlé - Serpentard";"J01640";"19.84";"29.90";"1.51";"20.4%";"27.40";"28.50";"27.80";"-";"27.50";"28.50";"27.40";"0.77";"Marge faible (Vérifier)"
"2079";"Harry Potter et le prince de sang mêlé - Poufsouffle";"J01639";"18.91";"28.50";"1.51";"20.4%";"27.40";"28.50";"27.80";"-";"27.50";"28.50";"27.40";"0.75";"Marge faible (Vérifier)"
"2080";"Harry Potter et le prince de sang mêlé - Serdaigle";"J01641";"19.84";"29.90";"1.51";"20.4%";"27.40";"28.50";"27.80";"-";"27.50";"28.50";"27.40";"0.78";"Marge faible (Vérifier)"
"2081";"Harry Potter et le prince de sang mêlé - Gryffondor";"J01642";"19.84";"29.90";"1.51";"20.4%";"27.50";"31.90";"29.45";"31.90";"27.50";"28.50";"29.90";"0.86";"Marge faible (Vérifier)"
"2082";"Loungefly sac à bandoulière Gryffondor Chain Strap";"LF-HPTB0186";"41.80";"75.00";"1.79";"33.1%";"79.90";"99.90";"86.57";"79.90";"-";"79.90";"99.90";"0.69";"Marge faible (Vérifier)"
"2083";"Loungefly sac à bandoulière Serpentard Chain Strap";"LF-HPTB0187";"41.80";"75.00";"1.79";"33.1%";"79.90";"84.90";"82.40";"84.90";"-";"79.90";"-";"0.73";"Marge faible (Vérifier)"
"2084";"Loungefly sac à bandoulière Serdaigle Chain Strap";"LF-HPTB0188";"41.80";"75.00";"1.79";"33.1%";"79.90";"84.90";"82.40";"84.90";"-";"79.90";"-";"0.73";"Marge faible (Vérifier)"
"2085";"Loungefly sac à bandoulière Poufsouffle Chain Strap";"LF-HPTB0189";"41.80";"75.00";"1.79";"33.1%";"79.90";"84.90";"82.40";"84.90";"-";"79.90";"-";"0.72";"Marge faible (Vérifier)"
"2086";"Loungefly sac à bandoulière Golden Poudlard";"LF-HPTB0193";"41.80";"75.00";"1.79";"33.1%";"59.90";"85.00";"76.60";"84.90";"-";"59.90";"85.00";"0.68";"Marge faible (Vérifier)"
"2087";"Grande peluche Fumseck le Phénix";"NN8873";"23.40";"44.95";"1.92";"37.5%";"44.95";"46.90";"45.45";"46.90";"44.99";"44.95";"44.95";"0.91";"Marge faible (Vérifier)"
"2096";"Panneau métal Le dragon mythique ";"TBM-2460";"4.07";"9.90";"2.43";"50.7%";"9.99";"9.99";"9.99";"-";"9.99";"-";"-";"0.61";"RAS"
"2098";"Panneau métal La carte des maraudeurs";"TBM-0675";"4.07";"9.90";"2.43";"50.7%";"8.99";"10.00";"9.72";"9.90";"9.99";"10.00";"8.99";"0.69";"RAS"
"2103";"Carte Luna Lovegood";"CDC-0555E";"1.86";"4.00";"2.15";"44.2%";"3.90";"5.00";"4.45";"3.90";"-";"-";"5.00";"0.74";"Marge faible (Vérifier)"
"2107";"Stickers 3D - Dumbledore";"STDM-0335";"2.35";"5.00";"2.13";"43.6%";"5.99";"5.99";"5.99";"-";"-";"-";"5.99";"0.61";"Opportunité (Augmenter !)"
"2110";"Stickers - Baguettes";"STFE-0044";"2.11";"4.50";"2.13";"43.7%";"4.90";"5.99";"5.45";"4.90";"-";"-";"5.99";"0.66";"Marge faible (Vérifier)"
"2112";"Stickers classiques Harry Potter";"STPA-0003";"2.35";"5.00";"2.13";"43.6%";"4.90";"4.90";"4.90";"4.90";"-";"-";"-";"0.69";"Marge faible (Vérifier)"
"2120";"Chapeau de Fleur Delacour";"250051";"19.73";"40.00";"2.03";"40.8%";"37.90";"38.00";"37.95";"37.90";"-";"-";"38.00";"0.74";"Trop cher (Baisser !)"
"2121";"Mug mélangeur chaudron";"BSSSLHP392";"11.47";"19.90";"1.73";"30.8%";"18.90";"21.99";"20.45";"-";"21.99";"18.90";"-";"0.66";"Marge faible (Vérifier)"
"2122";"Set papeterie Gryffindor";"CRD2100003661";"7.95";"15.90";"2.00";"40.0%";"14.85";"16.90";"15.58";"16.90";"-";"14.85";"14.99";"0.78";"Marge faible (Vérifier)"
"2123";"Trousse de toilette Hogwarts";"CRD2100003694";"4.90";"9.99";"2.04";"41.1%";"12.90";"12.90";"12.90";"-";"-";"12.90";"-";"0.64";"Opportunité (Augmenter !)"
"2124";"Trousse de toilette et sac Hogwarts Express";"CRD2500002329";"9.50";"19.99";"2.10";"43.0%";"19.99";"19.99";"19.99";"-";"-";"-";"19.99";"0.73";"Marge faible (Vérifier)"
"2125";"Trousse de toilette Hedwig";"CRD2500002393";"7.44";"15.00";"2.02";"40.5%";"14.90";"19.99";"17.45";"14.90";"-";"-";"19.99";"0.74";"Marge faible (Vérifier)"
"2126";"Set papeterie Hogwarts";"CRD2700000372";"9.40";"18.00";"1.91";"37.3%";"13.90";"19.95";"16.23";"13.90";"-";"14.85";"19.95";"0.78";"Marge faible (Vérifier)"
"2127";"Peluche Patronus Loutre ";"NN8453";"14.30";"29.95";"2.09";"42.7%";"29.90";"29.99";"29.95";"29.90";"-";"29.95";"29.99";"1.13";"Marge faible (Vérifier)"
